Work Order Operation Nr,Work Order ID,Work Order id (auto),Status,Operation id,Operation key,Operation Description,Duration,Duration unit,Predescesor Operation key,Required Skill,Required skill description,Order basic start date,Order basic end date,Operation scheduled start,Operation scheduled end,Confirmed work,Confirmed work unit,Asset Work center,Assigned technician(s),Technician First Name (from Assigned technician(s))
408,41,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
409,41,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
410,41,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
411,41,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
412,41,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
413,41,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
400,42,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
401,42,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
402,42,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
403,42,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
404,42,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
405,42,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
406,42,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
393,43,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
394,43,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
395,43,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
396,43,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
397,43,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
398,43,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
399,43,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",11/11/2024,15/11/2024,,,"0,0",Minutes,Flanders,,
435,44,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
436,44,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
437,44,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
438,44,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
439,44,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
440,44,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
441,44,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
428,45,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
429,45,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
430,45,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
431,45,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
432,45,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
433,45,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
434,45,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",4/11/2024,8/11/2024,,,"0,0",Minutes,Flanders,,
445,46,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
446,46,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
447,46,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
448,46,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
449,46,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
450,46,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
451,46,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
452,47,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
453,47,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
454,47,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
455,47,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
456,47,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
457,47,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
458,47,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
459,48,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
460,48,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
461,48,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
462,48,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
463,48,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
464,48,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
465,48,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
466,49,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
467,49,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
468,49,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
469,49,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
470,49,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
471,49,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
472,49,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
473,50,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
474,50,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
475,50,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
476,50,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
477,50,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
478,50,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
479,50,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
480,51,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
481,51,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
482,51,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
483,51,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
484,51,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
485,51,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
486,51,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
487,52,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
488,52,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
489,52,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
490,52,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
491,52,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
492,52,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
493,52,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
559,53,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
560,53,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
561,53,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
562,53,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
563,53,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
564,53,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
565,53,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
552,54,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
553,54,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
554,54,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
555,54,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
556,54,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
557,54,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
558,54,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
545,55,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
546,55,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
547,55,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
548,55,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
549,55,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
550,55,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
551,55,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
538,56,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
539,56,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
540,56,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
541,56,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
542,56,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
543,56,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
544,56,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
531,57,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
532,57,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
533,57,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
534,57,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
535,57,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
536,57,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
537,57,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
524,58,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
525,58,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
526,58,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
527,58,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
528,58,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
529,58,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
530,58,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
517,59,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
518,59,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
519,59,,To do,10,Corrective-Low-3,Control System Checks,"5,0",Minutes,9,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
520,59,,To do,11,Corrective-Low-4,Testing and Validation,"5,0",Minutes,10,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
521,59,,To do,12,Corrective-Low-5,Documentation and Reporting,"5,0",Minutes,11,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
522,59,,To do,13,Corrective-Low-6,Post-Maintenance Adjustments,"5,0",Minutes,12,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
523,59,,To do,14,Corrective-Low-7,System Cleanup and Safety Checks,"10,0",Minutes,13,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
510,60,,To do,8,Corrective-Low-1,Diagnostics and Troubleshooting,"30,0",Minutes,,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
511,60,,To do,9,Corrective-Low-2,Component Repair and Replacement,"1,0",Hours,8,"1,2,3,4","Electrician, Mecanician, Inspector Junior, Inspector Senior",,,,,"0,0",Minutes,Flanders,,
